"","super_opeid","instnm","count","count_pq1","count_pq2","count_pq3","count_pq4","count_pq5","inventor","inventor_pq1","inventor_pq2","inventor_pq3","inventor_pq4","inventor_pq5","top5cit","total_patents","total_cites","share_q1","share_q2","share_q3","share_q4","share_q5","name","par_median","kq5_cond_parq1"
"1",1,"University Of Hawaii And Hawaii Community Colleges",27002,3205,4527,5628,6957,6685,0.001037,0.000312,0.0006627,0.000533,0.0007187,0.0023934,6.9e-05,22,55,0.118694911488038,0.167654247833494,0.20842900525887,0.257647581660618,0.247574253758981,"University Of Hawaii And Hawaii Community Colleges",75200,16.251457
"2",4,"Coast Community College District",24340,4183,3829,4311,5066,6951,0.0016434,0.0011953,0.0010447,0.0011598,0.0013818,0.0027334,0.0001198,76,333,0.171857025472473,0.157313064913722,0.177115858668858,0.208134757600657,0.285579293344289,"Coast Community College District",72800,20.759323
"3",13,"Kern & North Orange County Community College Districts",18765,2521,3091,3564,4410,5179,0.0011191,0.00119,0,0.0014029,0.000907,0.0017378,4.69e-06,28,22,0.134345856648015,0.164721556088463,0.189928057553957,0.235011990407674,0.275992539301892,"Kern & North Orange County Community College Districts",63600,15.602726
"4",16,"San Mateo County Community College District",10936,1253,1658,2187,2513,3325,0.0016459,0.0023943,0.0036188,0.0004572,0.0011938,0.0015038,0.0001055,35,2474,0.114575713240673,0.151609363569861,0.199981711777615,0.229791514264813,0.304041697147037,"San Mateo County Community College District",77000,24.438568
"5",19,"Foothill-Deanza Community College District",16619,2245,2287,2798,3206,6083,0.0031891,0.003118,0.0004373,0.003574,0.0018715,0.0047674,0.0001826,137,1497,0.135086346952284,0.137613574823997,0.168361513929839,0.192911727540767,0.366026836753114,"Foothill-Deanza Community College District",80200,19.676554
"6",21,"University Of Alaska System",16797,1526,2419,3362,4571,4919,0.0007144,0,0.0012402,0,0.0013126,0.0006099,0,19,26,0.090849556468417,0.144013811990236,0.200154789545752,0.272131928320533,0.292849913675061,"University Of Alaska System",85000,19.167326
"7",22,"Spokane And Spokane Falls Community Colleges",11330,1648,2245,2851,2955,1631,0.0008826,0,0.0004454,0.0003508,0.0003384,0.0042918,0,5,8,0.145454545454545,0.198146513680494,0.251632833186231,0.26081200353045,0.143954104148279,"Spokane And Spokane Falls Community Colleges",64700,9.7777214
"8",26,"University Of Colorado System",31081,1205,2257,3697,6042,17880,0.0084618,0.0033195,0.0035445,0.0059508,0.0076134,0.0102349,0.0005655,513,1230,0.0387696663556514,0.0726167111740292,0.118947266818957,0.194395289726843,0.57527106592452,"University Of Colorado System",128200,33.117989
"9",27,"West Valley-Mission Community College District",7671,711,899,1253,1796,3012,0.0033894,0.0056259,0.0011123,0.0015962,0.0005568,0.0059761,1.71e-06,32,622,0.0926867422761048,0.11719462912267,0.163342458610351,0.234128536044844,0.392647633946031,"West Valley-Mission Community College District",91600,27.388355
"10",40,"Louisiana State University System",29927,2611,3590,4783,7340,11603,0.0025395,0.001532,0.0005571,0.0022998,0.0023161,0.0036198,3.93e-05,87,118,0.0872456310355198,0.119958565843553,0.159822234102984,0.245263474454506,0.387710094563438,"Louisiana State University System",94300,24.682886
"11",63,"University Of South Carolina System",22910,2172,3249,4203,5648,7638,0.0018769,0,0.0021545,0.0019034,0.0012394,0.0027494,4.91e-05,42,148,0.094805761676124,0.141815800960279,0.183457005674378,0.246529899607158,0.33339153208206,"University Of South Carolina System",85400,17.960169
"12",64,"West Virginia University, West Virginia University Institute Of Technology, West Virginia University - Parkersburg, And Potomac State College",21615,1695,2900,4443,5754,6823,0.0025908,0.0023599,0.002069,0.0024758,0.0022593,0.0032244,9.97e-05,80,70,0.0784177654406662,0.134166088364562,0.205551700208189,0.266204024982651,0.315660421003932,"West Virginia University, West Virginia University Institute Of Technology, West Virginia University - Parkersburg, And Potomac State College",86700,21.485952
"13",71,"University Of Nebraska System",28559,1388,3454,6116,8661,8940,0.0041318,0.0014409,0.0026057,0.0037606,0.0046184,0.0049217,0.0001152,132,270,0.048601141496551,0.120942610035365,0.214153156623131,0.303266921110683,0.313036170734269,"University Of Nebraska System",89400,28.800873
"14",82,"Minnesota State University System, Century And Various Other Minnesota Community Colleges",129373,10815,19736,31377,39789,27656,0.002002,0.0010171,0.0016214,0.0024859,0.0019603,0.0021695,9.22e-05,471,1430,0.083595495196061,0.152551150549187,0.242531285507795,0.307552580522984,0.213769488223973,"Minnesota State University System, Century And Various Other Minnesota Community Colleges",77500,14.4704
"15",85,"Certain Colorado Community Colleges",38396,5149,6988,8435,9632,8192,0.0010939,0.0003884,0,0.0008299,0.0010382,0.0028076,7.72e-05,53,229,0.134102510678196,0.181998124804667,0.219684342118971,0.250859464527555,0.213355557870612,"Certain Colorado Community Colleges",70800,10.885451
"16",91,"Devry University, Devry Institute Of Technology And Denver Technical College",29660,5721,6871,6721,6165,4182,0.0021578,0.0017479,0.0014554,0.0019342,0.0032441,0.0026303,0.0001769,102,187,0.192886041807148,0.231658799730276,0.226601483479434,0.207855697909643,0.1409979770735,"Devry University, Devry Institute Of Technology And Denver Technical College",56300,24.265957
"17",94,"ITT Technical Institute",37778,7779,9353,8976,7660,4010,0.0015618,0.0007713,0.0013899,0.0015597,0.0019582,0.0027431,2.84e-05,88,234,0.205913494626502,0.247577955423792,0.237598602361163,0.202763513155805,0.106146434432739,"ITT Technical Institute",52600,18.68042
"18",97,"Ivy Tech Community College Of Indiana System",39962,5617,7796,9982,10691,5876,0.0006506,0.0005341,0.0007696,0.0006011,0.0006548,0.0006807,2.12e-05,29,24,0.140558530604074,0.195085331064511,0.249787297933036,0.26752915269506,0.147039687703318,"Ivy Tech Community College Of Indiana System",66000,7.3219724
"19",100,"Riverside Community College District",20731,2911,3691,4518,5525,4086,0.0006753,0,0.0008128,0.0011067,0.000543,0.0007342,4.7e-05,25,143,0.140417731899088,0.178042544980946,0.217934494235686,0.266509092663161,0.197096136221118,"Riverside Community College District",70800,14.307536
"20",108,"University Of Pittsburgh System",22009,1188,2540,4322,6156,7803,0.0065428,0.0050505,0.0082677,0.005553,0.0063353,0.0069204,0.0001806,206,89,0.0539779181244037,0.115407333363624,0.196374210550229,0.279703757553728,0.354536780408015,"University Of Pittsburgh System",91200,31.640619
"21",125,"University Of Massachusetts System",31520,1940,3125,4934,8234,13287,0.0063135,0.0046392,0.00608,0.0062829,0.0049794,0.0074509,0.0002085,256,830,0.0615482233502538,0.0991434010152284,0.156535532994924,0.261230964467005,0.421541878172589,"University Of Massachusetts System",1e+05,36.247654
"22",129,"Harvard University",6819,228,364,523,892,4812,0.0211175,0.004386,0.0137363,0.0133843,0.0179372,0.0238986,0.0011392,386,1003,0.0334359876814782,0.0533802610353424,0.0766974629711101,0.130810969350345,0.705675318961725,"Harvard University",174000,57.741692
"23",133,"University Of Maine System",20796,2153,3595,5147,5755,4146,0.003366,0.0013934,0.0027816,0.0023315,0.0038228,0.0055475,0,102,51,0.103529524908636,0.17286978265051,0.247499519138296,0.276735910752068,0.19936526255049,"University Of Maine System",72600,14.330046
"24",1009,"Auburn University",18709,658,1367,2199,3985,10500,0.004864,0,0.0036576,0.0027285,0.0052698,0.005619,0.0004272,193,313,0.0351702389224437,0.0730664386124325,0.117537014271206,0.212999091346411,0.561227216847507,"Auburn University",123200,31.986362
"25",1051,"University Of Alabama",13883,886,1338,1917,3279,6463,0.0018008,0,0.0014948,0.0020866,0.0024398,0.001702,7.09e-05,26,47,0.0638190592811352,0.0963768637902471,0.138082546999928,0.23618814377296,0.46553338615573,"University Of Alabama",106100,24.877769
"26",1055,"University Of Alabama In Huntsville",3061,243,349,587,891,991,0.0075139,0.0041152,0.008596,0.0034072,0.0089787,0.0090817,0,20,28,0.0793858216269193,0.114015027768703,0.191767396275727,0.291081345965371,0.32375040836328,"University Of Alabama In Huntsville",91300,29.620243
