"","cz","par_q5","par_q4","par_q3","par_q2","par_q1","inventor","inventor_g_m","inventor_g_f","mobility","cz_name","state","census_2000_population","urban_areas","frac_black","racial_segregation","income_segregation","segregation_of_poverty_p25","segregation_of_affluence_p75","frac_with_commute_15_mins","household_income_per_capita","gini","top_1_percent_income_share","gini_bottom_99_percent","frac_between_p25_and_p75","local_tax_rate","local_government_expenditures_per_capita","state_income_tax_progressivity","state_eitc_exposure","school_expenditure_per_student","teacher_student_ratio","test_score_percentile_income_adjusted","high_school_dropout_rate_income_adjusted","number_of_colleges_per_capita","college_tuition","college_graduation_rate_income_adjusted","labor_force_participation_rate","manufacturing_employment_share","growth_in_chinese_imports_1990_2000","teenage_labor_force_participation_rate","migration_inflow_rate","migration_outlflow_rate","frac_foreign_born","social_capital_index","fraction_religious","violent_crime_rate","fraction_of_children_with_single_mothers","fraction_of_adults_divorced","fraction_of_adults_married","income_growth_2000_2006_10","share_f","share_m"
"1",100,0.11485059,0.17838816,0.24222758,0.2195895,0.24494416,0.0016206,0.0027971,0.0004183,0.0621988102793694,"Johnson City","TN","576081","1","0.0208408","0.090383699999999997","0.034865699999999999","0.030153200000000002","0.038239500000000003","0.32525779999999999","31559.77","0.46804000000000001","13.459","0.33345000000000002","0.54796","0.020392400000000001","1886.1479999999999","0","0","5.1845471999999999",NA,"2.7283789999999999","-0.015265600000000001","0.013886900000000001","4816.8199999999997","-0.0024312000000000001","0.58734739999999996","0.2373972","5.2937859999999999","0.0037529","0.0056398319000000004","0.0046972560999999999","0.011783699999999999","-0.29785830000000002","0.51440330000000001","0.0014094999999999999","0.18980320000000001","0.1101729","0.60089289999999995","-0.0022775999999999999",0.258114278662224,0.725965691719116
"2",200,0.064008042,0.16186327,0.24296246,0.26541555,0.26575068,0.0011464,0.0019358,0.0003327,0.0536519400775433,"Morristown","TN","227816","1","0.019779100000000001","0.093153","0.026280899999999999","0.0278582","0.025334800000000001","0.2764278","29958.93","0.43458999999999998","10.631","0.32828000000000002","0.53749999999999998","0.023447099999999998","2004.337","0","0","4.5058856",NA,"-3.400274","-0.023520699999999999","0.0087790000000000003","4762.2299999999996","-0.1011827","0.62497420000000004","0.23775560000000001","3.0304790000000001","0.0047772999999999999","0.016206061000000001","0.0142351722","0.023055300000000001","-0.76735476999999996","0.54389509999999996","0.0018435999999999999","0.18510599999999999","0.1159584","0.61335910000000005","-0.0021527999999999999",0.290212840195394,0.688590369853455
"3",302,0.18850206,0.19800733,0.20774163,0.20281723,0.20293175,0.0018258,0.0029472,0.0006926,0.0562812127172947,"Knoxville","TN","727600","1","0.0563648","0.20999429999999999","0.092103599999999994","0.084267400000000006","0.1019656","0.26856960000000002","35884.290000000001","0.50831999999999999","15.08","0.35752","0.50409999999999999","0.018870399999999999","2356.8510000000001","0","0","4.8998461999999998",NA,"-6.0318310000000004","-0.0110711","0.010995100000000001","3480.4400000000001","-0.023826099999999999","0.6148306","0.14550540000000001","1.078308","0.0042874999999999996","0.016302913700000001","0.0135541506","0.019967499999999999","-0.22188462","0.60195299999999996","0.0013441","0.20560229999999999","0.1142778","0.57515000000000005","-0.0019973999999999999",0.379340563040859,0.614196516595465
"4",401,0.19650382,0.20961449,0.1982207,0.2057125,0.1899485,0.0019402,0.0031627,0.0006921,0.0448007918894291,"Winston-Salem","NC","493180","1","0.17353099999999999","0.26238800000000001","0.071866700000000006","0.061080599999999999","0.080625500000000003","0.29181410000000002","38891.75","0.46553","11.917","0.34636","0.49991000000000002","0.017904799999999998","1891.45","1","0","5.4626763","15.385281000000001","-2.2970350000000002","0.0229661","0.014193600000000001","9715.3299999999999","0.051553399999999999","0.65608699999999998","0.21519849999999999","1.0160849999999999","0.0037629","0.022101464000000001","0.0186199765","0.052948200000000001","-0.01779596","0.48793750000000002","0.0026578999999999999","0.2204709","0.092350500000000002","0.58589720000000001","-0.0140494",0.356715802494588,0.630089681476137
"5",402,0.075704224,0.16373239,0.2359155,0.27552816,0.24911971,0.000566,0.0007468,0.0003814,0.0518358536064625,"Martinsville","VA","92753","0","0.22380949999999999","0.1365256","0.023731100000000001","0.015375399999999999","0.028269499999999999","0.31302429999999998","31264.810000000001","0.44447999999999999","10.68","0.33767999999999998","0.53839000000000004","0.0151883","1557.8789999999999","0","0","5.7398600999999996",NA,"4.2273810000000003",NA,"0.010781300000000001","1113","-0.11550249999999999","0.59939299999999995","0.39450669999999999","3.2766709999999999","0.0032873999999999998","0.0068137958000000004","0.010069755200000001","0.0249921","-0.90281513000000002","0.45443270000000002","0.0018975000000000001","0.24088509999999999","0.095640000000000003","0.57952170000000003","-0.0113832",0.673851590106007,0.319434628975265
"6",500,0.15575397,0.19017094,0.19955739,0.24061355,0.21390416,0.0015651,0.0025681,0.0005545,0.0473969392478466,"Greensboro","NC","1055133","1","0.21755930000000001","0.22006500000000001","0.067653199999999997","0.057588899999999998","0.076798000000000005","0.3049326","36581.839999999997","0.52358000000000005","18.228000000000002","0.34129999999999999","0.51009000000000004","0.017254700000000001","1932.4559999999999","1","0","5.0077962999999999","16.678007000000001","-3.7159930000000001","0.0155281","0.0142162","4528.4899999999998","-0.017433500000000001","0.6659446","0.26134689999999999","2.0505","0.0035349000000000001","0.0165078715","0.015370574099999999","0.050223299999999998","-0.51318037999999999","0.43396899999999999","0.0034608999999999998","0.2366055","0.095547199999999999","0.56019479999999999","-0.013550400000000001",0.354290460673439,0.640853619577024
"7",601,0.089053802,0.12894249,0.24489796,0.27458256,0.2625232,0.0008505,0.0012412,0.0004374,0.051663126796484,"North Wilkesboro","NC","90016","0","0.031927700000000003","0.1140964","0.0118961","0.0086020000000000003","0.012423500000000001","0.28933560000000003","31544.060000000001","0.44602999999999998","12.645","0.31957999999999998","0.56018000000000001","0.013595400000000001","1661.0260000000001","1","0","5.2960906999999997","16.177969999999998","6.6981890000000002","0.021033199999999998","0.0111091","880","-0.12317500000000001","0.61743499999999996","0.2753794","2.5728529999999998","0.0033693999999999998","0.0119756488","0.011886775699999999","0.027426900000000001","-0.19309309","0.56138909999999997","0.0026572000000000002","0.16520119999999999","0.087308200000000002","0.63226249999999995","-0.0108258",0.514285714285714,0.459376837154615
"8",700,0.1268238,0.17687991,0.20987654,0.26105499,0.22536476,0.0011777,0.0020496,0.0003071,0.043111190199852,"Spartanburg","SC","354533","1","0.2074983","0.1394965","0.045120599999999997","0.044160400000000002","0.045174100000000002","0.29897049999999997","33416.75","0.4713","13.061","0.34068999999999999","0.52849999999999997","0.018178799999999998","2498.8049999999998","0","0","5.4214950999999996","15.939933999999999","-1.0086949999999999",NA,"0.019744299999999999","7264.3599999999997","0.0066847","0.62953079999999995","0.29463099999999998","0.94588629999999996","0.0039405000000000004","0.017028034099999999","0.015558495300000001","0.0290639","-1.0008878000000001","0.59608550000000005","0.0032783000000000001","0.24610299999999999","0.098687800000000006","0.56131059999999999","-0.0138567",0.260762503184172,0.740341343296255
"9",800,0.11020482,0.19702737,0.222766,0.24705456,0.22294725,0.0011097,0.001511,0.0006947,0.0515273064374924,"Gastonia","NC","413331","1","0.13777819999999999","0.1336746","0.038078899999999999","0.034414399999999998","0.041466200000000002","0.28839769999999998","33582.139999999999","0.41505999999999998","10.08","0.31425999999999998","0.54393000000000002","0.0149102","1996.3299999999999","1","0","5.2506507999999998","16.369630999999998","2.4118110000000001","0.029527899999999999","0.0145162","10244","-0.10223169999999999","0.64767180000000002","0.31108130000000001","1.466388","0.0032236000000000001","0.0169452569","0.0153315382","0.0286182","-0.65939771999999996","0.60123720000000003","0.0040742","0.21391879999999999","0.094116699999999998","0.59614780000000001","-0.013851499999999999",0.626025051815806,0.361629269171848
"10",900,0.22067812,0.19006321,0.18431638,0.21649861,0.18844366,0.0017225,0.0025957,0.0008441,0.0437852367758751,"Charlotte","NC","1423942","1","0.22733020000000001","0.2233193","0.098346199999999995","0.078421699999999997","0.1196608","0.2407802","41423.260000000002","0.51624000000000003","15.613","0.36010999999999999","0.47738000000000003","0.019653899999999998","2700.7719999999999","1","0","5.6735040000000003","16.993594999999999","-2.2910620000000002","0.0229497","0.0133432","4790.2799999999997","-0.020733100000000001","0.69602220000000004","0.17113529999999999","0.83680180000000004","0.0039015","0.034231029099999997","0.021167997000000001","0.065254400000000004","-0.48383136999999998","0.4959942","0.0037023999999999998","0.2192885","0.087755299999999994","0.56331909999999996","-0.0107797",0.490043541364296,0.506937590711176
