"","state_name","state_fips","cohort","cohort_mean","par_state","inventor","inventor_cat_1","inventor_cat_2","inventor_cat_3","inventor_cat_4","inventor_cat_5","inventor_cat_6","inventor_cat_7","inventor_g_f","inventor_g_m","kid_count","par_q1","par_q2","par_q3","par_q4","par_q5","share_f","share_m"
"1","AK",2,1980,0.379000008106232,"Alaska",0.0017982,9.46e-05,0.0006388,0.0002366,0.0002129,0.0002129,0.0003312,7.1e-05,0.0005799,0.0029669,42265,0.10073428,0.14639743,0.19745296,0.25091785,0.30449748,0.322489155822489,0.649927705483261
"2","AL",1,1980,0.518999993801117,"Alabama",0.0007964,8.77e-05,0.000285,9.86e-05,8.4e-05,6.58e-05,0.0001169,5.85e-05,0.0002941,0.0012927,273721,0.29274788,0.22332825,0.18175766,0.16352181,0.13864441,0.369286790557509,0.623179306880964
"3","AR",5,1980,0.560000002384186,"Arkansas",0.0007924,4.3e-05,0.0001843,0.000129,0.0001413,7.99e-05,0.0001351,7.99e-05,0.0001865,0.001384,162805,0.28322059,0.24770893,0.20682414,0.15680231,0.10544403,0.235360928823826,0.746592629984856
"4","AZ",4,1980,0.462000012397766,"Arizona",0.0020134,0.00013,0.0007281,0.0003566,0.0002155,0.0002117,0.00026,0.0001114,0.0007421,0.0032628,269197,0.21419057,0.22032104,0.19871926,0.19014686,0.17662227,0.36858051057912,0.620542366146817
"5","CA",6,1980,0.488000005483627,"California",0.0024705,0.0001604,0.0009195,0.0004196,0.0003023,0.000188,0.0003113,0.0001694,0.0009549,0.0039788,1670537,0.23773721,0.20806521,0.18246372,0.16864087,0.20309298,0.386520947176685,0.610524185387573
"6","CO",8,1980,0.499000012874603,"Colorado",0.0028441,0.0002575,0.0008528,0.0004747,0.0004184,0.0002172,0.0003862,0.0002333,0.0009697,0.0046723,248585,0.13378583,0.1818271,0.20811346,0.22276713,0.25350648,0.340951443338842,0.642804402095566
"7","CT",9,1980,0.51800000667572,"Connecticut",0.0032316,0.0003209,0.0009282,0.000573,0.0004698,0.0004011,0.000361,0.0001776,0.0012971,0.0051611,174527,0.11365984,0.14325705,0.16989183,0.22487362,0.34831765,0.401380121302141,0.597072657507117
"8","DC",11,1980,0.662000000476837,"District of Columbia",0.0009843,9.84e-05,0.0004429,4.92e-05,9.84e-05,9.84e-05,9.84e-05,9.84e-05,0.0002885,0.0017141,20319,0.29674459,0.29757929,0.17132722,0.093489148,0.14085977,0.293101696637204,0.741440617697856
"9","DE",10,1980,0.513999998569489,"Delaware",0.0020551,0.0002431,0.0006629,0.0004861,0.0002431,0.0001326,0.0002873,0,0.0008479,0.0032394,45254,0.16930889,0.18568024,0.1886851,0.21251684,0.24380893,0.412583329278381,0.576273660649117
"10","FL",12,1980,0.458000004291534,"Florida",0.0015827,0.0001148,0.0004516,0.0002236,0.0002295,0.000155,0.0002742,0.0001341,0.0007097,0.0024556,670987,0.26604015,0.23730771,0.1917115,0.15670997,0.14823067,0.448410943324698,0.551525873507298
