"","cz","par_q5","par_q4","par_q3","par_q2","par_q1","inventor","mobility","cz_name","state","census_2000_population","urban_areas","frac_black","racial_segregation","income_segregation","segregation_of_poverty_p25","segregation_of_affluence_p75","frac_with_commute_15_mins","household_income_per_capita","gini","top_1_percent_income_share","gini_bottom_99_percent","frac_between_p25_and_p75","local_tax_rate","local_government_expenditures_per_capita","state_income_tax_progressivity","state_eitc_exposure","school_expenditure_per_student","teacher_student_ratio","test_score_percentile_income_adjusted","high_school_dropout_rate_income_adjusted","number_of_colleges_per_capita","college_tuition","college_graduation_rate_income_adjusted","labor_force_participation_rate","manufacturing_employment_share","growth_in_chinese_imports_1990_2000","teenage_labor_force_participation_rate","migration_inflow_rate","migration_outlflow_rate","frac_foreign_born","social_capital_index","fraction_religious","violent_crime_rate","fraction_of_children_with_single_mothers","fraction_of_adults_divorced","fraction_of_adults_married","income_growth_2000_2006_10","treatment"
"1",100,0.11485059,0.17838816,0.24222758,0.2195895,0.24494416,0.0016206,0.0621988102793694,NA,NA,576081,1,0.0208408,0.0903837,0.0348657,0.0301532,0.0382395,0.3252578,31559.77,0.46804,13.459,0.33345,0.54796,0.0203924,1886.148,0,0,5.1845472,NA,2.728379,-0.0152656,0.0138869,4816.82,-0.0024312,0.5873474,0.2373972,5.293786,0.0037529,0.0056398319,0.0046972561,0.0117837,-0.2978583,0.5144033,0.0014095,0.1898032,0.1101729,0.6008929,-0.0022776,0
"2",200,0.064008042,0.16186327,0.24296246,0.26541555,0.26575068,0.0011464,0.0536519400775433,NA,NA,227816,1,0.0197791,0.093153,0.0262809,0.0278582,0.0253348,0.2764278,29958.93,0.43459,10.631,0.32828,0.5375,0.0234471,2004.337,0,0,4.5058856,NA,-3.400274,-0.0235207,0.008779,4762.23,-0.1011827,0.6249742,0.2377556,3.030479,0.0047773,0.016206061,0.0142351722,0.0230553,-0.76735477,0.5438951,0.0018436,0.185106,0.1159584,0.6133591,-0.0021528,0
"3",301,0.039951574,0.10653753,0.19007264,0.26997578,0.39346248,0.0005976,0.0726351365447044,NA,NA,66708,0,0.0146459,0.0642501,0.0240811,0.0146831,0.0258143,0.3585358,22328.48,0.44095,10.691,0.33404,0.46685,0.0153799,1189.82,0,0,5.614119,15.084937,-9.315062,-0.0046291,0.0449721,11840.4,0.1112985,0.4789631,0.2335314,2.062596,0.0028932,0.008050009,0.0116028063,0.007078,-1.2702513,0.667806,0.0008545,0.2110027,0.1134514,0.5902804,-0.0037121,0
"4",302,0.18850206,0.19800733,0.20774163,0.20281723,0.20293175,0.0018258,0.0562812127172947,NA,NA,727600,1,0.0563648,0.2099943,0.0921036,0.0842674,0.1019656,0.2685696,35884.29,0.50832,15.08,0.35752,0.5041,0.0188704,2356.851,0,0,4.8998462,NA,-6.031831,-0.0110711,0.0109951,3480.44,-0.0238261,0.6148306,0.1455054,1.078308,0.0042875,0.0163029137,0.0135541506,0.0199675,-0.22188462,0.601953,0.0013441,0.2056023,0.1142778,0.57515,-0.0019974,0
"5",401,0.19650382,0.20961449,0.1982207,0.2057125,0.1899485,0.0019402,0.0448007918894291,NA,NA,493180,1,0.173531,0.262388,0.0718667,0.0610806,0.0806255,0.2918141,38891.75,0.46553,11.917,0.34636,0.49991,0.0179048,1891.45,1,0,5.4626763,15.385281,-2.297035,0.0229661,0.0141936,9715.33,0.0515534,0.656087,0.2151985,1.016085,0.0037629,0.022101464,0.0186199765,0.0529482,-0.01779596,0.4879375,0.0026579,0.2204709,0.0923505,0.5858972,-0.0140494,0
"6",402,0.075704224,0.16373239,0.2359155,0.27552816,0.24911971,0.000566,0.0518358536064625,NA,NA,92753,0,0.2238095,0.1365256,0.0237311,0.0153754,0.0282695,0.3130243,31264.81,0.44448,10.68,0.33768,0.53839,0.0151883,1557.879,0,0,5.7398601,NA,4.227381,NA,0.0107813,1113,-0.1155025,0.599393,0.3945067,3.276671,0.0032874,0.0068137958,0.0100697552,0.0249921,-0.90281513,0.4544327,0.0018975,0.2408851,0.09564,0.5795217,-0.0113832,0
"7",500,0.15575397,0.19017094,0.19955739,0.24061355,0.21390416,0.0015651,0.0473969392478466,NA,NA,1055133,1,0.2175593,0.220065,0.0676532,0.0575889,0.076798,0.3049326,36581.84,0.52358,18.228,0.3413,0.51009,0.0172547,1932.456,1,0,5.0077963,16.678007,-3.715993,0.0155281,0.0142162,4528.49,-0.0174335,0.6659446,0.2613469,2.0505,0.0035349,0.0165078715,0.0153705741,0.0502233,-0.51318038,0.433969,0.0034609,0.2366055,0.0955472,0.5601948,-0.0135504,0
"8",601,0.089053802,0.12894249,0.24489796,0.27458256,0.2625232,0.0008505,0.051663126796484,NA,NA,90016,0,0.0319277,0.1140964,0.0118961,0.008602,0.0124235,0.2893356,31544.06,0.44603,12.645,0.31958,0.56018,0.0135954,1661.026,1,0,5.2960907,16.17797,6.698189,0.0210332,0.0111091,880,-0.123175,0.617435,0.2753794,2.572853,0.0033694,0.0119756488,0.0118867757,0.0274269,-0.19309309,0.5613891,0.0026572,0.1652012,0.0873082,0.6322625,-0.0108258,0
"9",700,0.1268238,0.17687991,0.20987654,0.26105499,0.22536476,0.0011777,0.043111190199852,NA,NA,354533,1,0.2074983,0.1394965,0.0451206,0.0441604,0.0451741,0.2989705,33416.75,0.4713,13.061,0.34069,0.5285,0.0181788,2498.805,0,0,5.4214951,15.939934,-1.008695,NA,0.0197443,7264.36,0.0066847,0.6295308,0.294631,0.9458863,0.0039405,0.0170280341,0.0155584953,0.0290639,-1.0008878,0.5960855,0.0032783,0.246103,0.0986878,0.5613106,-0.0138567,0
"10",800,0.11020482,0.19702737,0.222766,0.24705456,0.22294725,0.0011097,0.0515273064374924,NA,NA,413331,1,0.1377782,0.1336746,0.0380789,0.0344144,0.0414662,0.2883977,33582.14,0.41506,10.08,0.31426,0.54393,0.0149102,1996.33,1,0,5.2506508,16.369631,2.411811,0.0295279,0.0145162,10244,-0.1022317,0.6476718,0.3110813,1.466388,0.0032236,0.0169452569,0.0153315382,0.0286182,-0.65939772,0.6012372,0.0040742,0.2139188,0.0941167,0.5961478,-0.0138515,0
