cz,cz_name,cz_state_fips,cz_state_name,cz_state_abbr,cohort,count,par_q1,par_q2,par_q3,par_q4,par_q5
-999,Missing,,,,1980,23237,.27710119,.1599604,.17080519,.15901364,.23311959
-999,Missing,,,,1981,20305,.3207092,.15616843,.16779119,.13710909,.21822211
-999,Missing,,,,1982,20578,.38108659,.14671008,.1585674,.12838954,.18524638
-999,Missing,,,,1983,24604,.52121603,.11559096,.12359779,.094943911,.14465128
-999,Missing,,,,1984,31753,.61990994,.095329575,.10175417,.075772367,.10723396
-999,Missing,,,,1985,38821,.6925633,.076968648,.085082814,.0615131,.083872132
-999,Missing,,,,1986,41717,.72193593,.068029821,.081813172,.057866096,.070355013
-999,Missing,,,,1987,45972,.74427915,.063625686,.075785257,.052705996,.06360393
-999,Missing,,,,1988,52160,.7600652,.062231597,.071108125,.050517637,.056077454
-999,Missing,,,,1989,59591,.770217,.064791664,.066184491,.047238678,.051568191
-999,Missing,,,,1990,61258,.73477751,.08743348,.070962161,.052123804,.054703061
-999,Missing,,,,1991,61687,.71682853,.098335147,.07447274,.052458379,.057905231
100,Johnson City,47,Tennessee,TN,1980,6419,.23492756,.22900763,.23383705,.18009035,.1221374
100,Johnson City,47,Tennessee,TN,1981,6534,.22344659,.23232323,.24533211,.17860423,.12029385
100,Johnson City,47,Tennessee,TN,1982,6658,.23956142,.22874737,.24241515,.16491438,.12436167
100,Johnson City,47,Tennessee,TN,1983,6324,.23782416,.23339659,.23481974,.17741935,.11654016
100,Johnson City,47,Tennessee,TN,1984,6626,.24494416,.2195895,.24222758,.17838816,.11485059
100,Johnson City,47,Tennessee,TN,1985,6934,.24098644,.2226709,.23795789,.1817133,.11667147
100,Johnson City,47,Tennessee,TN,1986,6733,.23555622,.22486262,.2447646,.18268231,.11213426
100,Johnson City,47,Tennessee,TN,1987,6809,.22763988,.23160523,.24335438,.18049639,.11690409
100,Johnson City,47,Tennessee,TN,1988,6985,.24022906,.21918397,.24423765,.18110237,.11524696
100,Johnson City,47,Tennessee,TN,1989,7316,.23332421,.22580644,.24002187,.19177146,.109076
100,Johnson City,47,Tennessee,TN,1990,7577,.24284017,.21750033,.23360169,.19242445,.11363336
100,Johnson City,47,Tennessee,TN,1991,7573,.25458866,.21180509,.22448172,.19860029,.11052423
200,Morristown,47,Tennessee,TN,1980,2794,.27845383,.25805297,.22798854,.15533286,.080171794
200,Morristown,47,Tennessee,TN,1981,2751,.27589968,.25336242,.24245729,.15376227,.07451836
200,Morristown,47,Tennessee,TN,1982,2855,.29527146,.24483362,.21926445,.15936953,.081260949
200,Morristown,47,Tennessee,TN,1983,2854,.27505255,.25192711,.22634898,.17133847,.075332865
200,Morristown,47,Tennessee,TN,1984,2984,.26575068,.26541555,.24296246,.16186327,.064008042
